word,definition,x,y,z,cluster
AAL,"'(Hindi) the Indian mulberry tree, aka noni, also AL [n -S]'",-0.6801378,1.5980186,7.838625,-1
AALS,"'AAL, (Hindi) the Indian mulberry tree, aka noni, also AL [n]'",-0.6872431,1.609777,7.8541455,-1
AARTI,"'(Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also ARTI [n -S]'",1.2889221,2.7076645,0.43291983,59
AARTIS,"'AARTI, (Hindi) an Indian ceremony in which candles dipped in ghee are lighted and offered to various deities, also ARTI [n]'",1.2813159,2.7104394,0.47867322,-1
AATMAN,"'(Sanskrit) the essential self, also ATMA, ATMAN [n -S]'",2.322285,3.5753193,-1.3302165,116
AATMANS,"'AATMAN, (Sanskrit) the essential self, also ATMA, ATMAN [n]'",2.2713661,3.4571111,-1.2345217,116
ACEROLA,'a West Indian shrub [n -S]',0.7358641,3.043321,7.8945093,-1
ACEROLAS,"'ACEROLA, a West Indian shrub [n]'",0.60018235,2.9558773,8.197928,-1
ACHAR,"'a spicy pickle made primarily from mango, used in Indian cooking [n -S]'",-1.5666816,-1.5762337,8.623768,-1
ACHARS,"'ACHAR, a spicy pickle made primarily from mango, used in Indian cooking [n]'",-1.5423195,-1.5844133,8.558748,-1
ACHARYA,'(Sanskrit) a Hindu teacher or learned man [n -S]',1.5961368,2.8178697,-0.66890335,-1
ACHARYAS,"'ACHARYA, (Sanskrit) a Hindu teacher or learned man [n]'",1.5880433,2.8322568,-0.6575202,-1
ACHKAN,"'(Hindi) in India, a knee-length coat with a high collar [n -S]'",-1.3836926,0.93466294,1.3079346,-1
ACHKANS,"'ACHKAN, (Hindi) in India, a knee-length coat with a high collar [n]'",-1.4236491,0.9216807,1.2477435,-1
ADHARMA,'(Sanskrit) unrighteousness (the opposite of dharma) [n -S]',2.3329809,3.4615643,-1.3604592,-1
ADHARMAS,"'ADHARMA, (Sanskrit) unrighteousness (the opposite of dharma) [n]'",2.4072752,3.4556234,-1.4858441,-1
AGILA,"'(Tamil) the wood of the aloe, aka agalwood [n -S]'",1.1232427,1.0510387,7.7337723,-1
AGILAS,"'AGILA, (Tamil) the wood of the aloe, aka agalwood [n]'",1.1728874,1.1551205,7.838394,-1
AHIMSA,"'(Sanskrit) in Hindu philosophy, the principle of noninjury to living beings [n -S]'",2.2862659,3.7078214,-1.3124629,-1
AHIMSAS,"'AHIMSA, (Sanskrit) in Hindu philosophy, the principle of noninjury to living beings [n]'",2.3467422,3.6915593,-1.3451736,-1
AIA,"'(Hindi) in India, a maid or nurse, also AYAH [n -S]'",0.8980819,-0.16042426,0.60651827,-1
AIAS,"'AIA, (Hindi) in India, a maid or nurse, also AYAH [n]'",0.8673081,-0.2071153,0.6399638,-1
AJIVA,'(Sanskrit) inanimate matter [n -S]',2.1828704,3.5472202,-1.2900715,-1
AJIVAS,"'AJIVA, (Sanskrit) inanimate matter [n]'",2.214121,3.5189943,-1.2654858,-1
AKHARA,'(Hindi) a gymnasium [n -S]',1.5763258,0.853157,1.3536782,-1
AKHARAS,"'AKHARA, (Hindi) a gymnasium [n]'",1.4103448,1.0003961,1.1560404,-1
AL,"'(Hindi) the Indian mulberry tree, aka noni, also AAL [n -S]'",-0.7102359,1.6107923,7.8199215,-1
ALAAP,"'(Sanskrit) in Indian music, the introductory section of a raga, also ALAP, ALAPA [n -S]'",0.58267,5.889068,0.2705841,76
ALAAPS,"'ALAAP, (Sanskrit) in Indian music, the introductory section of a raga, also ALAP, ALAPA [n]'",0.58916634,5.8545957,0.32230547,76
ALAP,"'(Sanskrit) in Indian music, the introductory section of a raga, also ALAAP, ALAPA [n -S]'",0.5750845,5.881538,0.28310055,76
ALAPA,"'(Sanskrit) in Indian music, the introductory section of a raga, also ALAAP, ALAP [n -S]'",0.56882334,5.8955107,0.26936898,76
ALAPAS,"'ALAPA, (Sanskrit) in Indian music, the introductory section of a raga, also ALAAP, ALAP [n]'",0.5498436,5.892908,0.2804874,76
ALAPS,"'ALAP, (Sanskrit) in Indian music, the introductory section of a raga, also ALAAP, ALAPA [n]'",0.5750858,5.8824115,0.27849963,76
ALMIRAH,"'(Hindi) a wardrobe, a chest of drawers [n -S]'",-0.20946272,0.58822393,3.014191,-1
ALMIRAHS,"'ALMIRAH, (Hindi) a wardrobe, a chest of drawers [n]'",-0.15503216,0.5488663,3.0558488,-1
ALOO,"'(Hindi) a potato, also ALU [n -S]'",-1.2211944,-0.95557326,8.36578,-1
ALOOS,"'ALOO, (Hindi) a potato, also ALU [n]'",-1.2639192,-1.0011668,8.38544,-1
ALS,"'AL, (Hindi) the Indian mulberry tree, aka noni, also AAL [n]'",-0.7146249,1.6050371,7.8408813,-1
ALU,"'(Hindi) a potato, also ALOO [n -S]'",-1.2267538,-0.96728504,8.358221,-1
ALUS,"'ALU, (Hindi) a potato, also ALOO [n]'",-1.2667136,-0.99701726,8.35316,-1
AMADAVAT,"'(Hindi) the strawberry finch, a small Indian song bird, commonly caged and kept for fighting, also AVADAVAT [n -S]'",1.6387624,3.767131,5.639752,-1
AMADAVATS,"'AMADAVAT, (Hindi) the strawberry finch, a small Indian song bird, commonly caged and kept for fighting, also AVADAVAT [n]'",1.6324275,3.7825499,5.64582,-1
AMBARI,"'(Hindi) a fibre-yielding plant of East Indies, also AMBARY [n -S]'",-0.22580674,1.4190264,7.6013803,-1
AMBARIES,"'AMBARY, (Hindi) a fibre-yielding plant of East Indies, also AMBARI [n]'",-0.22054128,1.493478,7.645458,-1
AMBARIS,"'AMBARI, (Hindi) a fibre-yielding plant of East Indies, also AMBARY [n]'",-0.18535477,1.4759421,7.652575,-1
AMBARY,"'(Hindi) a fibre-yielding plant of East Indies, also AMBARI [n AMBARIES]'",-0.23583221,1.4395508,7.6364455,-1
AMILDAR,"'(Urdu) a factor or manager in India, a collector of revenues, also AUMIL, AUMILDAR [n -S]'",0.6393962,-1.6905764,0.25696653,79
AMILDARS,"'AMILDAR, (Urdu) a factor or manager in India, a collector of revenues, also AUMIL, AUMILDAR [n]'",0.71933776,-1.6621257,0.2680914,79
AMLA,'an East Indian tree [n -S]',0.6670112,2.7680361,7.879237,49
AMLAS,"'AMLA, an East Indian tree [n]'",0.16895938,2.3520043,8.052559,-1
AMREETA,"'(Sanskrit) a drink which bestows immortality in Hindu mythology, also AMRIT, AMRITA [n -S]'",1.9925954,3.5565379,-1.0047079,-1
AMREETAS,"'AMREETA, (Sanskrit) a drink which bestows immortality in Hindu mythology, also AMRIT, AMRITA [n]'",2.0010433,3.5550392,-1.0621783,-1
AMRIT,"'(Punjabi) a sacred sweetened water used in the Sikh baptismal ceremony, also AMREETA, AMRITA [n -S]'",0.4306549,2.8087676,0.035962597,-1
AMRITA,"'(Sanskrit) a beverage that bestows immortality in Hindu mythology, also AMRIT, AMREETA [n -S]'",1.9980303,3.567977,-1.0472289,-1
AMRITAS,"'AMRITA, (Sanskrit) a beverage that bestows immortality in Hindu mythology, also AMRIT, AMREETA [n]'",1.9839166,3.5521293,-1.0507973,-1
AMRITATTVA,'(Sanskrit) immortality [n -S]',2.229146,3.6073925,-1.3112307,-1
AMRITATTVAS,"'AMRITATTVA, (Sanskrit) immortality [n]'",2.1139176,3.5473678,-1.2552325,-1
AMRITATVA,'(Sanskrit) a state of immortality [n -S]',2.2214625,3.6247866,-1.2989022,-1
AMRITATVAS,"'AMRITATVA, (Sanskrit) a state of immortality [n]'",2.1356337,3.5443776,-1.2696671,-1
AMRITS,"'AMRIT, (Punjabi) a sacred sweetened water used in the Sikh baptismal ceremony, also AMREETA, AMRITA [n]'",0.3874362,2.863981,0.044185385,-1
ANANDA,'(Sanskrit) extreme happiness [n -S]',2.28449,3.659291,-1.3943088,-1
ANANDAS,"'ANANDA, (Sanskrit) extreme happiness [n]'",2.3495243,3.51808,-1.3502272,-1
ANATA,"'(Sanskrit) the Buddhist belief in the impermanence of self, also ANATMAN [n -S]'",2.3719704,3.831119,-1.7218224,-1
ANATAS,"'ANATA, (Sanskrit) the Buddhist belief in the impermanence of self, also ANATMAN [n]'",2.3843865,3.7868686,-1.7025195,-1
ANATMAN,"'(Sanskrit) the Buddhist belief in the impermanence of self, also ANATA [n -S]'",2.4012125,3.7874517,-1.7515451,-1
ANATMANS,"'ANATMAN, (Sanskrit) the Buddhist belief in the impermanence of self, also ANATA [n]'",2.373102,3.8332741,-1.687294,-1
ANGA,'(Sanskrit) any of the eight practises of yoga [n -S]',2.2965715,4.9737854,-1.8972445,104
ANGANWADI,"'(Hindi) in India, a rural centre providing care for mothers and young children [n -S]'",1.9078641,0.45315623,0.9377341,-1
ANGANWADIS,"'ANGANWADI, (Hindi) in India, a rural centre providing care for mothers and young children [n]'",1.9494582,0.21111552,0.9554328,-1
ANGAS,"'ANGA, (Sanskrit) any of the eight practises of yoga [n]'",2.2813454,4.9391274,-1.8605688,104
ANICCA,'(Sanskrit) the belief that everything is impermanent and constantly changing [n -S]',2.3615441,3.8172383,-1.6455933,-1
ANICCAS,"'ANICCA, (Sanskrit) the belief that everything is impermanent and constantly changing [n]'",2.4507086,3.7483566,-1.7492937,-1
ANICUT,"'(Tamil) a dam or mole made in the course of a stream for the purpose of regulating the flow of a system of irrigation, also ANNICUT [n -S]'",1.5900707,-1.0594057,3.4409318,-1
ANICUTS,"'ANICUT, (Tamil) a dam or mole made in the course of a stream for the purpose of regulating the flow of a system of irrigation, also ANNICUT [n]'",1.5927209,-1.0985984,3.3613334,-1
ANIME,"'(Tupi) the resin of the West Indian locust-tree, also ANIMI [n -S]'",0.85140777,3.135251,8.008925,-1
ANIMES,"'ANIME, (Tupi) the resin of the West Indian locust-tree, also ANIMI [n]'",0.8946445,3.186042,8.012323,-1
ANIMI,"'(Tupi) the resin of the West Indian locust-tree, also ANIME [n -S]'",0.8312247,3.0619988,7.979728,-1
ANIMIS,"'ANIMI, (Tupi) the resin of the West Indian locust-tree, also ANIME [n]'",0.93879247,3.180498,7.9769053,-1
